icfes_puesto,cutoff,ingresa_u3
-244,-850,1
-244,-571,1
-243,-850,0.96153843
-243,-571,1
-242,-850,0.82352942
-242,-571,0.66666669
-241,-850,0.90476191
-241,-571,0.5
-240,-850,0.83999997
-239,-850,0.94117647
-239,-571,1
-238,-850,0.86666667
-238,-571,1
-237,-850,0.94999999
-237,-571,0.5
-236,-850,0.95238096
-236,-571,1
-235,-850,0.76923078
-235,-571,1
-234,-850,0.92000002
-234,-571,1
-233,-850,0.85714287
-233,-571,1
-232,-850,0.83333331
-232,-571,1
-231,-850,0.94444442
-231,-571,1
-230,-850,0.83333331
-230,-571,0.80000001
-229,-850,0.88461536
-229,-571,0.33333334
-228,-850,0.8888889
-228,-571,1
-227,-850,0.81818181
-227,-571,0.5
-226,-850,0.86956519
-226,-571,1
-225,-850,1
-224,-850,0.92592591
-224,-571,1
-223,-850,0.89999998
-223,-571,0.75
-222,-850,0.85714287
-222,-571,1
-221,-850,0.8888889
-221,-571,1
-220,-850,0.95454544
-220,-571,1
-219,-850,0.84615386
-219,-571,1
-218,-850,0.89999998
-218,-571,1
-217,-850,0.85714287
-217,-571,1
-216,-850,0.94999999
-216,-571,1
-215,-850,0.84210527
-215,-571,1
-214,-850,1
-214,-571,0
-213,-850,0.8888889
-213,-571,1
-212,-850,0.83999997
-212,-571,1
-211,-850,0.89473683
-210,-850,0.95454544
-210,-571,0.75
-209,-850,0.88235295
-209,-571,1
-208,-850,0.875
-208,-571,1
-207,-850,0.88
-207,-571,1
-206,-850,0.94117647
-206,-571,1
-205,-850,1
-205,-571,1
-204,-850,0.95999998
-204,-571,0.5
-203,-850,0.93103451
-203,-571,1
-202,-850,0.89285713
-202,-571,1
-201,-850,0.88461536
-201,-571,0.5
-200,-850,0.75
-200,-571,1
-199,-850,0.8888889
-199,-571,1
-198,-850,0.92307693
-198,-571,1
-197,-850,0.92307693
-197,-571,1
-196,-850,0.89655173
-196,-571,0.83333331
-195,-850,1
-195,-571,1
-194,-850,0.92307693
-194,-571,1
-193,-850,0.90909094
-193,-571,0.5
-192,-850,0.95652175
-192,-571,1
-191,-850,1
-191,-571,1
-190,-850,0.86206895
-190,-571,1
-189,-850,0.92307693
-189,-571,1
-188,-850,0.8888889
-188,-571,0.33333334
-187,-850,0.88461536
-187,-571,1
-186,-850,0.9375
-186,-571,0
-185,-850,0.94999999
-185,-571,0.33333334
-184,-850,0.89999998
-184,-571,1
-183,-850,0.88
-183,-571,0.66666669
-182,-850,0.90909094
-182,-571,0.5
-181,-850,1
-181,-571,1
-180,-850,0.93103451
-180,-571,1
-179,-850,0.89285713
-179,-571,1
-178,-850,0.95454544
-178,-571,0.80000001
-177,-850,0.94736844
-177,-571,1
-176,-850,0.94444442
-176,-571,0.80000001
-175,-850,0.92592591
-175,-571,1
-174,-850,0.89655173
-174,-571,1
-173,-850,0.95999998
-173,-571,1
-172,-850,1
-172,-571,1
-171,-850,0.80952382
-171,-571,0.75
-170,-850,0.79166669
-170,-571,1
-169,-850,0.92000002
-169,-571,0.5
-168,-850,0.85714287
-168,-571,1
-167,-850,0.90476191
-167,-571,1
-166,-850,0.95238096
-166,-571,1
-165,-850,0.81481481
-165,-571,0.77777779
-164,-850,0.86956519
-164,-571,1
-163,-850,1
-163,-571,1
-162,-850,0.85714287
-162,-571,1
-161,-850,0.78260869
-161,-571,1
-160,-850,0.95999998
-160,-571,1
-159,-850,0.93103451
-159,-571,1
-158,-850,0.92000002
-158,-571,1
-157,-850,1
-157,-571,0.75
-156,-850,0.89473683
-156,-571,1
-155,-850,0.89473683
-155,-571,0.85714287
-154,-850,1
-154,-571,1
-153,-850,0.90476191
-153,-571,1
-152,-850,0.94117647
-152,-571,1
-151,-850,0.90476191
-151,-571,0.83333331
-150,-850,0.82608694
-150,-571,1
-149,-850,0.88235295
-149,-571,0.75
-148,-850,0.92592591
-148,-571,0.60000002
-147,-850,0.93333334
-147,-571,1
-146,-850,0.90625
-146,-571,1
-145,-850,0.81818181
-145,-571,1
-144,-850,0.95238096
-144,-571,1
-143,-850,0.90909094
-143,-571,1
-142,-850,0.93548387
-142,-571,0.5
-141,-850,0.92592591
-141,-571,1
-140,-850,0.89999998
-140,-571,1
-139,-850,0.875
-139,-571,1
-138,-850,0.90476191
-138,-571,0.75
-137,-850,0.96428573
-137,-571,1
-136,-850,0.78571427
-136,-571,1
-135,-850,0.85714287
-135,-571,1
-134,-850,0.93103451
-134,-571,0.90909094
-133,-850,0.90909094
-133,-571,0.85714287
-132,-850,0.95999998
-132,-571,1
-131,-850,0.90909094
-131,-571,1
-130,-850,1
-130,-571,0.5
-129,-850,0.97058821
-129,-571,0.66666669
-128,-850,0.92307693
-128,-571,0.71428573
-127,-850,0.92307693
-127,-571,1
-126,-850,1
-126,-571,0.71428573
-125,-850,0.875
-125,-571,0.77777779
-124,-850,0.90476191
-124,-571,1
-123,-850,0.91666669
-123,-571,1
-122,-850,0.95238096
-122,-571,0.80000001
-121,-850,0.95454544
-121,-571,0.80000001
-120,-850,0.85714287
-120,-571,0.80000001
-119,-850,0.96296299
-119,-571,1
-118,-850,0.92000002
-118,-571,1
-117,-850,0.94117647
-117,-571,1
-116,-850,0.9130435
-116,-571,1
-115,-850,0.96551722
-115,-571,1
-114,-850,0.80000001
-114,-571,1
-113,-850,0.95999998
-113,-571,1
-112,-850,0.92307693
-112,-571,1
-111,-850,1
-111,-571,0.66666669
-110,-850,0.95833331
-110,-571,1
-109,-850,0.91176468
-109,-571,1
-108,-850,0.93333334
-108,-571,1
-107,-850,0.92307693
-107,-571,0.75
-106,-850,0.875
-106,-571,1
-105,-850,0.93103451
-105,-571,1
-104,-850,1
-104,-571,1
-103,-850,1
-103,-571,0.83333331
-102,-850,1
-102,-571,1
-101,-850,0.94999999
-101,-571,1
-100,-850,1
-100,-571,0.85714287
-99,-850,0.90476191
-99,-571,1
-98,-850,1
-98,-571,1
-97,-850,0.96296299
-97,-571,0.90909094
-96,-850,0.81818181
-96,-571,1
-95,-850,0.92000002
-95,-571,0.85714287
-94,-850,1
-94,-571,1
-93,-850,0.96153843
-93,-571,1
-92,-850,1
-92,-571,1
-91,-850,0.88235295
-91,-571,1
-90,-850,1
-90,-571,0.75
-89,-850,0.88461536
-89,-571,1
-88,-850,0.96296299
-88,-571,0.83333331
-87,-850,0.96153843
-87,-571,1
-86,-850,1
-86,-571,1
-85,-850,1
-85,-571,0.83333331
-84,-850,0.92000002
-84,-571,0.80000001
-83,-850,0.90476191
-83,-571,1
-82,-850,0.96666664
-82,-571,0.60000002
-81,-850,0.94444442
-81,-571,0.66666669
-80,-850,1
-80,-571,1
-79,-850,0.92592591
-79,-571,0.83333331
-78,-850,0.80000001
-78,-571,1
-77,-850,1
-77,-571,0.80000001
-76,-850,0.96296299
-76,-571,0.85714287
-75,-850,0.94117647
-75,-571,1
-74,-850,0.95238096
-74,-571,0.85714287
-73,-850,1
-73,-571,1
-72,-850,0.95652175
-72,-571,1
-71,-850,0.96428573
-71,-571,1
-70,-850,1
-70,-571,0.90909094
-69,-850,0.94736844
-69,-571,1
-68,-850,0.8888889
-68,-571,0.71428573
-67,-850,0.95238096
-67,-571,1
-66,-850,0.94444442
-66,-571,0.83333331
-65,-850,1
-65,-571,1
-64,-850,1
-64,-571,0.80000001
-63,-850,1
-63,-571,0.85714287
-62,-850,0.95652175
-62,-571,0.33333334
-61,-850,0.90909094
-61,-571,1
-60,-850,1
-60,-571,1
-59,-850,1
-59,-571,1
-58,-850,0.94999999
-58,-571,1
-57,-850,0.94736844
-57,-571,0.85714287
-56,-850,1
-56,-571,1
-55,-850,0.96296299
-55,-571,1
-54,-850,1
-54,-571,1
-53,-850,1
-53,-571,0.875
-52,-850,0.95238096
-52,-571,1
-51,-850,1
-51,-571,1
-50,-850,0.95454544
-50,-571,1
-49,-850,1
-49,-571,1
-48,-850,0.875
-48,-571,1
-47,-850,1
-47,-571,1
-46,-850,1
-46,-571,0.89999998
-45,-850,0.89999998
-45,-571,0.8888889
-44,-850,1
-44,-571,0.83333331
-43,-850,0.96296299
-43,-571,1
-42,-850,0.95238096
-42,-571,1
-41,-850,0.96428573
-41,-571,0.33333334
-40,-850,1
-40,-571,0.83333331
-39,-850,1
-39,-571,1
-38,-850,1
-38,-571,1
-37,-850,0.95652175
-37,-571,1
-36,-850,0.94117647
-36,-571,1
-35,-850,1
-35,-571,1
-34,-850,1
-34,-571,0.85714287
-33,-850,1
-33,-571,1
-32,-850,1
-32,-571,0.875
-31,-850,1
-31,-571,1
-30,-850,1
-30,-571,0.75
-29,-850,0.94999999
-29,-571,1
-28,-850,0.9130435
-28,-571,1
-27,-850,1
-27,-571,1
-26,-850,1
-26,-571,1
-25,-850,0.77777779
-25,-571,1
-24,-850,0.95454544
-24,-571,1
-23,-850,1
-23,-571,1
-22,-850,1
-22,-571,1
-21,-850,0.9375
-21,-571,1
-20,-850,0.93333334
-20,-571,1
-19,-850,0.9375
-19,-571,1
-18,-850,0.88235295
-18,-571,0.66666669
-17,-850,1
-17,-571,1
-16,-850,1
-16,-571,1
-15,-850,1
-15,-571,1
-14,-850,1
-14,-571,1
-13,-850,0.84615386
-13,-571,1
-12,-850,1
-12,-571,0.66666669
-11,-850,0.94999999
-11,-571,1
-10,-850,0.86666667
-10,-571,1
-9,-850,0.84615386
-9,-571,1
-8,-850,1
-8,-571,1
-7,-850,1
-7,-571,1
-6,-850,1
-6,-571,1
-5,-850,1
-5,-571,1
-4,-850,1
-3,-850,1
-3,-571,1
-2,-850,1
-2,-571,1
-1,-850,1
-1,-571,1
