icfes_puesto,cutoff,ingresa_u3
-845,-850,0.54545456
-845,-571,0.5
-844,-850,0.33333334
-844,-571,0.5
-843,-850,1
-843,-571,0.5
-842,-850,0.66666669
-842,-571,0.5
-841,-850,0.60000002
-841,-571,1
-840,-850,0.33333334
-840,-571,1
-839,-850,0.5
-839,-571,1
-838,-850,0.60000002
-838,-571,1
-837,-850,0.5
-837,-571,0.5
-836,-850,0.5714286
-836,-571,1
-835,-850,0.66666669
-835,-571,0
-834,-850,0.66666669
-834,-571,0.5
-833,-850,0.85714287
-833,-571,1
-832,-850,0.40000001
-831,-850,0.60000002
-830,-850,0.42857143
-830,-571,0.5
-829,-850,0.54545456
-828,-850,0.80000001
-827,-850,0.33333334
-827,-571,1
-826,-850,0.5
-826,-571,0
-825,-850,0.83333331
-825,-571,1
-824,-850,0.75
-824,-571,0
-823,-850,0.5
-823,-571,0.33333334
-822,-850,0.85714287
-821,-850,0.83333331
-821,-571,1
-820,-850,0.625
-819,-850,0.5714286
-818,-850,0.71428573
-818,-571,1
-817,-850,0.66666669
-817,-571,0.5
-816,-850,0.25
-816,-571,1
-815,-850,0.66666669
-814,-850,0.66666669
-814,-571,1
-813,-850,0.5
-813,-571,0.66666669
-812,-850,0.625
-811,-850,0.33333334
-811,-571,0.33333334
-810,-850,0.625
-810,-571,0.60000002
-809,-850,0.80000001
-809,-571,0.80000001
-808,-850,0.5
-808,-571,1
-807,-850,0.5
-807,-571,0.66666669
-806,-850,1
-806,-571,0.5
-805,-850,0.25
-805,-571,0.5
-804,-850,0.8888889
-804,-571,0
-803,-850,0.66666669
-803,-571,1
-802,-850,0.71428573
-802,-571,0.5
-801,-850,0.38461539
-800,-850,0.89999998
-800,-571,0.66666669
-799,-850,0.83333331
-799,-571,0.5
-798,-850,0.80000001
-798,-571,0
-797,-850,0.60000002
-797,-571,1
-796,-850,0.5
-796,-571,0.5
-795,-850,0.71428573
-795,-571,0
-794,-850,0.80000001
-794,-571,1
-793,-850,0.83333331
-793,-571,0
-792,-850,0.63636363
-792,-571,1
-791,-850,0.60000002
-791,-571,0.5
-790,-850,0.66666669
-790,-571,0
-789,-850,0.66666669
-789,-571,1
-788,-850,0.45454547
-788,-571,1
-787,-850,0.83333331
-787,-571,1
-786,-850,0.81818181
-786,-571,1
-785,-850,0.8888889
-785,-571,0.83333331
-784,-850,0.5625
-784,-571,0.5
-783,-850,0.75
-783,-571,1
-782,-850,1
-782,-571,1
-781,-850,1
-781,-571,0.33333334
-780,-850,0.2857143
-780,-571,1
-779,-850,0.63636363
-779,-571,0
-778,-850,0.75
-778,-571,1
-777,-850,0.33333334
-777,-571,0.33333334
-776,-850,0.60000002
-776,-571,1
-775,-850,0.14285715
-775,-571,0.66666669
-774,-850,0.60000002
-774,-571,0.75
-773,-850,0.5714286
-773,-571,1
-772,-850,0.5714286
-772,-571,0.75
-771,-850,0.33333334
-771,-571,0.66666669
-770,-850,0.5
-770,-571,1
-769,-850,0.77777779
-769,-571,0.5
-768,-850,0.60000002
-768,-571,1
-767,-850,0.75
-767,-571,1
-766,-850,0.625
-765,-850,0.60000002
-765,-571,0.5
-764,-850,1
-764,-571,0.25
-763,-850,0.69999999
-762,-850,0.55555558
-762,-571,0.5714286
-761,-850,0.44444445
-761,-571,0
-760,-850,0.80000001
-760,-571,0.5
-759,-850,0.54545456
-759,-571,1
-758,-850,0.5
-758,-571,1
-757,-850,0.83333331
-757,-571,0.80000001
-756,-850,0.80000001
-756,-571,1
-755,-850,0.77777779
-755,-571,1
-754,-850,0.77777779
-754,-571,0.60000002
-753,-850,0.875
-753,-571,0.5
-752,-850,1
-752,-571,0
-751,-850,0.5
-751,-571,0.5
-750,-850,0.66666669
-749,-850,0.63636363
-749,-571,1
-748,-850,0.2
-748,-571,0.5
-747,-850,0.90909094
-747,-571,1
-746,-850,0.85714287
-746,-571,1
-745,-850,0.5714286
-745,-571,1
-744,-850,0.77777779
-744,-571,1
-743,-850,1
-743,-571,0.66666669
-742,-850,0.89999998
-742,-571,0.5
-741,-850,0.75
-741,-571,1
-740,-850,0.55555558
-740,-571,0.5
-739,-850,0.89999998
-739,-571,1
-738,-850,0.55555558
-738,-571,1
-737,-850,0.85714287
-737,-571,0.5
-736,-850,0.66666669
-736,-571,1
-735,-850,0.75
-735,-571,1
-734,-850,0.625
-733,-850,0.80000001
-733,-571,1
-732,-850,0.80000001
-732,-571,1
-731,-850,0.85714287
-731,-571,0
-730,-850,0.55555558
-729,-850,0.5
-729,-571,1
-728,-850,0.875
-728,-571,0.66666669
-727,-850,0.44444445
-727,-571,0.25
-726,-850,0.61538464
-726,-571,1
-725,-850,0.55555558
-725,-571,0.5
-724,-850,0.5
-724,-571,0.66666669
-723,-850,0.36363637
-723,-571,1
-722,-850,0.72727275
-722,-571,0.66666669
-721,-850,0.40000001
-721,-571,1
-720,-850,1
-720,-571,1
-719,-850,0.33333334
-719,-571,0.5
-718,-850,0.625
-718,-571,1
-717,-850,0.125
-717,-571,0
-716,-850,0.54545456
-716,-571,0.25
-715,-850,0.77777779
-715,-571,0.5
-714,-850,0.83333331
-714,-571,1
-713,-850,0.73333335
-713,-571,0
-712,-850,0.85714287
-712,-571,0
-711,-850,0.71428573
-711,-571,0.66666669
-710,-850,0.625
-710,-571,0.5
-709,-850,0.80000001
-709,-571,1
-708,-850,0.875
-708,-571,1
-707,-850,0.5714286
-707,-571,1
-706,-850,0.8888889
-706,-571,1
-705,-850,0.66666669
-704,-850,0.63636363
-704,-571,0.60000002
-703,-850,0.83333331
-703,-571,1
-702,-850,1
-702,-571,0
-701,-850,0.90909094
-701,-571,0.75
-700,-850,1
-700,-571,0.25
-699,-850,1
-699,-571,1
-698,-850,0.92307693
-698,-571,0.75
-697,-850,0.66666669
-697,-571,0.5
-696,-850,0.40000001
-696,-571,0.60000002
-695,-850,0.5
-695,-571,0.66666669
-694,-850,0.85714287
-694,-571,1
-693,-850,0.54545456
-693,-571,1
-692,-850,0.71428573
-692,-571,0.33333334
-691,-850,0.75
-691,-571,0.66666669
-690,-850,1
-690,-571,0.33333334
-689,-850,0.71428573
-689,-571,1
-688,-850,0.76923078
-688,-571,1
-687,-850,0.53846157
-687,-571,0.66666669
-686,-850,0.8888889
-686,-571,0.60000002
-685,-850,0.81818181
-685,-571,0.75
-684,-850,0.63636363
-684,-571,0.66666669
-683,-850,0.60000002
-683,-571,0.5
-682,-850,0.61538464
-682,-571,1
-681,-850,0.60000002
-681,-571,1
-680,-850,0.69999999
-680,-571,0
-679,-850,0.80000001
-679,-571,0.33333334
-678,-850,0.5714286
-678,-571,1
-677,-850,0.875
-677,-571,0.66666669
-676,-850,1
-676,-571,1
-675,-850,0.80000001
-675,-571,0.75
-674,-850,0.80000001
-674,-571,1
-673,-850,0.90909094
-673,-571,1
-672,-850,0.81818181
-672,-571,0.33333334
-671,-850,0.69230771
-671,-571,0.75
-670,-850,0.5
-670,-571,1
-669,-850,0.75
-669,-571,0.75
-668,-850,0.66666669
-668,-571,0
-667,-850,0.60000002
-667,-571,1
-666,-850,0.63636363
-666,-571,0.60000002
-665,-850,0.80000001
-665,-571,0.75
-664,-850,0.73333335
-664,-571,0
-663,-850,0.85714287
-663,-571,1
-662,-850,0.69999999
-662,-571,1
-661,-850,0.5
-661,-571,0.66666669
-660,-850,0.8888889
-660,-571,0.5
-659,-850,0.625
-659,-571,0.5
-658,-850,0.91666669
-658,-571,1
-657,-850,0.8888889
-657,-571,0.5
-656,-850,0.83333331
-656,-571,1
-655,-850,1
-655,-571,0.5
-654,-850,0.78571427
-654,-571,1
-653,-850,0.81818181
-653,-571,0.40000001
-652,-850,0.80000001
-652,-571,0.75
-651,-850,0.77777779
-651,-571,1
-650,-850,0.80000001
-650,-571,1
-649,-850,0.66666669
-649,-571,1
-648,-850,0.61538464
-648,-571,1
-647,-850,0.69999999
-647,-571,1
-646,-850,0.83333331
-646,-571,1
-645,-850,0.8888889
-645,-571,1
-644,-850,0.89999998
-644,-571,0
-643,-850,1
-643,-571,0.80000001
-642,-850,0.78571427
-642,-571,0.33333334
-641,-850,0.55555558
-641,-571,1
-640,-850,0.81818181
-640,-571,1
-639,-850,0.375
-639,-571,1
-638,-850,0.71428573
-638,-571,0.66666669
-637,-850,0.84615386
-637,-571,0.66666669
-636,-850,0.78571427
-636,-571,0.5
-635,-850,0.41666666
-635,-571,1
-634,-850,0.63636363
-634,-571,0.75
-633,-850,0.83333331
-633,-571,1
-632,-850,0.55555558
-632,-571,0.5
-631,-850,0.7368421
-631,-571,1
-630,-850,0.5
-630,-571,1
-629,-850,0.91666669
-629,-571,0.5
-628,-850,0.5
-628,-571,0.33333334
-627,-850,0.55555558
-626,-850,0.83333331
-626,-571,0.66666669
-625,-850,0.75
-625,-571,0.66666669
-624,-850,0.91666669
-624,-571,1
-623,-850,0.78947371
-623,-571,1
-622,-850,0.71428573
-622,-571,0.80000001
-621,-850,0.75
-621,-571,0.25
-620,-850,0.6875
-620,-571,0.83333331
-619,-850,0.55555558
-619,-571,0.5
-618,-850,0.875
-618,-571,0.83333331
-617,-850,0.85714287
-617,-571,0.80000001
-616,-850,0.80000001
-616,-571,1
